기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	구로구	고척2동	1,460	4,177	23	44	160	366	373	998	555	1,913	349	856
2019	구로구	개봉2동	1,212	3,361	18	46	164	363	330	974	401	1,062	299	916
2019	구로구	개봉3동	1,020	7,391	19	47	150	244	250	659	337	5,490	264	951
2019	구로구	오류1동	1,187	4,795	49	115	163	448	275	1,192	393	1,572	307	1,468
2019	구로구	오류2동	1,729	9,157	35	70	276	808	443	2,910	589	3,836	386	1,533
2019	구로구	수궁동	1,258	6,199	9	14	153	422	270	1,282	465	2,369	361	2,112
2019	구로구	가리봉동	993	3,179	26	37	129	236	234	668	306	1,399	298	839
2019	구로구	구로2동	7,653	28,133	84	181	584	1,494	2,116	7,131	2,798	11,561	2,071	7,766
2019	구로구	개봉1동	1,698	5,484	34	95	198	451	425	1,309	616	1,799	425	1,830
2019	금천구	소계	33,814	242,686	664	2,152	3,883	15,003	9,632	67,125	12,575	105,202	7,060	53,204
2019	금천구	가산동	16,661	170,886	349	1,364	2,171	10,285	5,695	51,258	5,950	72,569	2,496	35,410
2019	금천구	독산1동	4,037	25,241	89	267	464	1,752	1,013	6,438	1,503	11,115	968	5,669
2019	금천구	독산2동	1,154	3,514	19	37	108	265	257	663	476	1,376	294	1,173
2019	금천구	독산3동	2,087	6,500	41	94	207	467	445	1,330	772	2,638	622	1,971
2019	금천구	독산4동	994	3,130	23	48	112	331	228	742	390	1,216	241	793
2019	금천구	시흥1동	3,078	15,728	56	143	348	998	738	2,880	1,112	8,773	824	2,934
2019	금천구	시흥2동	651	2,009	23	39	94	112	142	385	275	1,202	117	271
2019	금천구	시흥3동	3,167	10,083	38	98	174	449	640	2,075	1,322	4,062	993	3,399
2019	금천구	시흥4동	853	2,034	16	35	87	143	180	565	349	861	221	430
2019	금천구	시흥5동	1,132	3,561	10	27	118	201	294	789	426	1,390	284	1,154
2019	영등포구	소계	42,370	373,478	801	2,176	5,232	19,369	10,448	66,670	14,499	159,818	11,390	125,445
2019	영등포구	여의동	8,132	160,633	133	416	1,000	5,120	2,294	24,123	2,814	75,102	1,891	55,872
2019	영등포구	당산1동	3,107	19,234	70	160	406	1,605	736	3,031	986	8,313	909	6,125
2019	영등포구	당산2동	2,289	22,947	52	125	361	1,076	627	3,979	755	8,779	494	8,988
2019	영등포구	양평1동	3,068	24,084	40	106	455	1,217	696	4,989	1,133	11,881	744	5,891
2019	영등포구	양평2동	2,182	19,921	44	162	290	895	586	3,486	719	8,709	543	6,669
2019	영등포구	신길1동	1,091	5,280	18	40	119	300	239	995	351	1,912	364	2,033
2019	영등포구	신길3동	1,369	2,905	16	43	124	294	246	631	571	1,096	412	841
2019	영등포구	신길4동	433	1,461	9	17	44	188	91	227	169	600	120	429
2019	영등포구	신길5동	526	2,563	9	23	69	132	102	360	208	1,597	138	451
2019	영등포구	신길6동	1,228	4,904	25	53	154	570	301	1,068	416	2,019	332	1,194
2019	영등포구	신길7동	620	2,932	17	42	76	337	142	547	223	1,268	162	738
2019	영등포구	대림1동	1,064	4,517	23	48	115	292	268	748	355	1,098	303	2,331
2019	영등포구	대림2동	1,378	4,520	43	102	200	426	328	752	470	1,612	337	1,628
2019	영등포구	대림3동	2,262	10,193	42	116	264	653	522	1,891	876	4,730	558	2,803
2019	영등포구	영등포본동	1,410	5,361	44	132	208	550	380	1,145	445	2,256	333	1,278
2019	영등포구	영등포동	5,883	34,391	106	293	676	2,956	1,372	7,884	1,760	12,352	1,969	10,906
2019	영등포구	도림동	1,021	2,975	18	41	150	432	251	630	346	1,026	256	846
2019	영등포구	문래동	5,307	44,657	92	257	521	2,326	1,267	10,184	1,902	15,468	1,525	16,422
2019	동작구	소계	19,793	106,159	492	1,436	2,674	8,160	5,034	21,776	6,499	45,523	5,094	29,264
2019	동작구	노량진2동	1,706	7,779	33	62	139	396	389	1,733	537	3,181	608	2,407
2019	동작구	상도1동	1,765	8,821	48	159	294	910	466	1,590	575	2,697	382	3,465
2019	동작구	상도2동	1,398	5,299	34	100	200	624	345	1,310	473	1,951	346	1,314
2019	동작구	상도3동	1,011	3,477	21	42	128	311	248	965	352	1,221	262	938
2019	동작구	상도4동	1,008	3,105	17	40	146	445	243	846	335	1,026	267	748
2019	동작구	사당1동	1,790	9,815	53	200	280	987	464	2,772	548	3,903	445	1,953
2019	동작구	사당3동	936	4,032	21	69	133	330	239	770	312	1,353	231	1,510
2019	동작구	사당4동	659	1,953	12	31	91	237	152	407	215	589	189	689
2019	동작구	사당5동	519	1,646	15	30	67	116	149	481	165	587	123	432
2019	동작구	대방동	1,693	11,691	42	134	209	665	458	2,520	558	4,658	426	3,714
2019	동작구	신대방1동	1,035	4,210	19	38	128	298	257	680	367	1,754	264	1,440
2019	동작구	신대방2동	1,227	19,081	21	70	150	643	327	2,564	428	11,725	301	4,079
2019	동작구	흑석동	1,557	10,324	52	150	212	649	387	1,333	522	4,528	384	3,664
2019	동작구	노량진1동	1,856	8,214	52	178	248	717	483	2,395	611	3,307	462	1,617
2019	동작구	사당2동	1,633	6,712	52	133	249	832	427	1,410	501	3,043	404	1,294
2019	관악구	소계	24,015	109,807	704	1,966	3,912	12,299	5,922	23,805	7,653	38,318	5,824	33,419
2019	관악구	보라매동	1,367	6,557	35	63	237	524	347	1,314	442	2,907	306	1,749
2019	관악구	청림동	451	1,385	9	11	89	175	101	288	157	613	95	298
2019	관악구	행운동	1,372	6,845	51	119	227	1,904	380	1,469	401	1,659	313	1,694
2019	관악구	낙성대동	1,296	7,867	65	284	267	1,220	317	1,996	361	2,145	286	2,222
2019	관악구	중앙동	965	5,516	29	70	143	437	275	1,376	297	2,916	221	717
2019	관악구	인헌동	1,053	3,578	23	47	164	367	273	1,112	353	1,038	240	1,014
2019	관악구	남현동	872	4,957	18	33	136	375	222	1,196	275	1,979	221	1,374
2019	관악구	서원동	1,279	7,459	49	139	244	1,001	344	1,425	365	2,279	277	2,615
2019	관악구	신원동	814	2,356	35	77	106	229	203	617	250	843	220	590
2019	관악구	서림동	1,115	3,245	28	90	191	319	236	814	358	1,314	302	708
2019	관악구	신사동	1,359	4,356	38	120	192	503	321	1,151	455	1,534	353	1,048
2019	관악구	신림동	1,687	6,638	85	224	340	1,139	442	2,048	450	2,044	370	1,183
2019	관악구	난향동	397	1,886	7	13	63	139	105	293	145	886	77	555
2019	관악구	조원동	2,150	7,116	39	107	360	676	463	1,770	755	2,895	533	1,668
2019	관악구	대학동	1,636	15,017	54	165	240	748	402	1,543	504	3,286	436	9,275
2019	관악구	은천동	1,562	6,658	40	114	238	589	383	1,802	524	2,091	377	2,062
2019	관악구	성현동	821	2,951	12	30	125	291	205	584	282	1,116	197	930
2019	관악구	청룡동	1,855	10,350	56	203	284	1,154	479	1,966	561	4,642	475	2,385
2019	관악구	난곡동	954	2,452	15	27	148	278	194	490	353	1,012	244	645
2019	관악구	삼성동	1,010	2,618	16	30	118	231	230	551	365	1,119	281	687
2019	관악구	미성동	1,490	5,522	46	110	210	502	332	1,241	543	2,429	359	1,240
2019	서초구	소계	46,940	438,985	1,025	2,937	6,286	25,453	13,214	91,004	14,954	175,938	11,461	143,653
2019	서초구	서초1동	3,811	32,022	70	180	457	1,724	1,118	7,516	1,224	12,061	942	10,541
2019	서초구	서초2동	5,072	53,003	199	411	861	3,145	1,608	9,527	1,453	24,243	951	15,677
2019	서초구	서초3동	7,725	81,064	116	392	959	4,410	2,122	17,579	2,595	37,824	1,933	20,859
2019	서초구	서초4동	3,012	28,529	61	332	456	2,366	892	7,837	925	12,916	678	5,078
2019	서초구	잠원동	2,199	18,054	64	118	354	1,357	658	5,861	670	6,527	453	4,191
2019	서초구	반포본동	665	2,326	5	21	65	191	165	379	201	937	229	798
2019	서초구	반포1동	1,737	10,255	70	141	356	1,427	539	2,302	468	4,478	304	1,907
2019	서초구	반포2동	306	2,142	4	10	36	120	86	449	111	1,199	69	364
2019	서초구	반포3동	964	7,502	16	49	119	624	248	961	324	1,654	257	4,214
2019	서초구	반포4동	3,291	29,877	49	182	393	1,938	927	6,608	948	9,173	974	11,976
2019	서초구	방배본동	1,623	10,497	47	137	214	616	481	2,796	507	4,143	374	2,805
2019	서초구	방배1동	1,907	16,332	50	131	277	1,269	566	3,264	597	4,692	417	6,976
2019	서초구	방배2동	1,852	17,806	64	144	291	1,066	442	2,566	575	8,446	480	5,584
2019	서초구	방배3동	1,186	13,826	18	54	130	536	291	3,027	387	4,388	360	5,821
2019	서초구	방배4동	2,149	14,635	37	57	283	950	581	3,301	686	5,390	562	4,937
2019	서초구	양재1동	3,616	44,006	57	192	437	1,831	990	6,981	1,217	15,066	915	19,936
2019	서초구	양재2동	4,989	48,262	79	235	508	1,636	1,308	8,293	1,766	19,744	1,328	18,354
2019	서초구	내곡동	836	8,847	19	151	90	247	192	1,757	300	3,057	235	3,635
2019	강남구	소계	71,027	698,840	1,763	6,709	11,364	55,235	22,206	184,610	21,575	276,297	14,119	175,989
2019	강남구	신사동	4,140	26,210	118	388	867	4,267	1,423	9,657	1,119	8,152	613	3,746
2019	강남구	논현1동	5,309	41,829	162	489	980	4,500	1,839	14,004	1,397	14,140	931	8,696
2019	강남구	논현2동	5,596	62,264	142	526	951	4,361	1,935	21,303	1,559	22,322	1,009	13,752
2019	강남구	삼성1동	4,079	63,573	94	445	535	3,987	1,295	15,245	1,337	29,682	818	14,214
2019	강남구	삼성2동	3,661	37,531	97	365	611	2,178	1,219	13,418	1,027	13,313	707	8,257
2019	강남구	대치1동	1,068	6,451	21	83	117	510	324	1,735	380	2,615	226	1,508
2019	강남구	대치4동	3,677	31,920	85	290	605	2,965	1,196	7,156	1,147	13,653	644	7,856
2019	강남구	역삼1동	15,451	155,883	502	1,836	2,664	13,931	5,027	42,174	4,416	59,485	2,842	38,457
2019	강남구	역삼2동	3,775	38,437	99	291	598	2,839	1,200	9,702	1,168	17,022	710	8,583
2019	강남구	도곡1동	1,596	17,066	37	410	238	693	424	3,184	557	7,652	340	5,127
2019	강남구	도곡2동	1,828	19,895	21	49	240	1,040	493	3,584	613	6,661	461	8,561
2019	강남구	개포1동	169	875	4	5	15	24	34	474	57	241	59	131
2019	강남구	개포4동	1,884	10,524	32	93	181	615	470	2,072	730	4,846	471	2,898
2019	강남구	일원본동	500	9,755	4	8	54	130	124	681	186	1,693	132	7,243
2019	강남구	일원1동	2,123	6,888	16	43	151	463	211	1,430	949	2,751	796	2,201
2019	강남구	일원2동	564	9,506	9	17	37	100	115	666	214	3,372	189	5,351
2019	강남구	수서동	1,504	18,055	21	75	130	694	329	2,273	572	8,474	452	6,539
2019	강남구	세곡동	1,338	7,062	36	86	219	637	350	1,253	473	3,576	260	1,510
2019	강남구	압구정동	3,919	29,427	92	462	728	4,251	1,336	9,908	1,036	8,673	727	6,133
2019	강남구	청담동	4,212	38,137	92	362	802	3,762	1,434	11,002	1,136	13,196	748	9,815
2019	강남구	대치2동	3,897	64,496	68	352	562	3,029	1,249	13,136	1,234	33,460	784	14,519
2019	강남구	개포2동	737	3,056	11	34	79	259	179	553	268	1,318	200	892
2019	송파구	소계	48,644	341,201	1,092	3,121	7,087	26,407	12,483	70,395	15,588	130,134	12,394	111,144
2019	송파구	풍납1동	730	2,489	14	29	76	174	154	607	249	822	237	857
2019	송파구	풍납2동	1,151	16,316	15	29	140	579	277	1,522	365	2,982	354	11,204
2019	송파구	거여1동	826	3,649	16	46	99	217	191	806	299	1,898	221	682
2019	송파구	거여2동	841	4,560	7	24	106	627	183	729	293	2,051	252	1,129
2019	송파구	마천1동	994	2,411	12	25	132	249	212	579	313	860	325	698
2019	송파구	마천2동	1,350	4,236	25	49	156	473	278	780	466	1,735	425	1,199
2019	송파구	방이1동	1,317	8,454	36	94	178	623	338	1,517	438	3,909	327	2,311
2019	송파구	방이2동	3,125	19,808	80	238	476	1,773	779	4,659	994	8,349	796	4,789
2019	송파구	오륜동	496	5,724	8	16	33	132	109	582	181	3,143	165	1,851
2019	송파구	오금동	2,397	16,687	42	140	298	1,132	569	4,201	872	7,519	616	3,695
2019	송파구	송파1동	2,509	14,692	79	170	441	1,684	603	3,750	800	3,697	586	5,391
2019	송파구	송파2동	836	4,149	23	50	142	337	205	619	270	1,827	196	1,316
2019	송파구	석촌동	2,666	15,306	74	201	410	1,268	660	4,310	832	3,926	690	5,601
2019	송파구	삼전동	2,028	11,418	45	109	320	990	537	2,470	602	3,237	524	4,612
2019	송파구	가락본동	3,489	25,440	66	172	427	1,284	867	4,308	1,249	12,088	880	7,588
2019	송파구	가락1동	2,988	11,391	25	69	200	565	616	2,258	940	3,767	1,207	4,732
2019	송파구	가락2동	1,901	9,763	50	128	241	699	511	2,887	626	3,579	473	2,470
2019	송파구	문정1동	1,295	6,194	38	101	175	536	299	1,381	419	2,126	364	2,050
2019	송파구	문정2동	7,131	59,850	175	594	1,162	4,941	2,166	13,675	2,240	26,394	1,388	14,246
2019	송파구	장지동	1,337	9,229	33	64	256	579	315	1,494	446	3,657	287	3,435
2019	송파구	위례동	667	3,859	21	48	163	387	217	1,624	197	1,485	69	315
2019	송파구	잠실본동	3,042	19,197	107	310	520	1,803	832	4,963	873	5,190	710	6,931
2019	송파구	잠실4동	383	1,696	5	9	65	189	114	586	126	602	73	310
2019	송파구	잠실6동	2,629	49,280	40	219	443	1,879	693	6,607	754	20,464	699	20,111
2019	송파구	잠실7동	196	1,284	1	2	13	36	38	194	73	605	71	447
2019	송파구	잠실2동	777	4,583	18	39	128	405	248	1,041	229	1,828	154	1,270
2019	송파구	잠실3동	1,543	9,536	37	146	287	2,846	472	2,246	442	2,394	305	1,904
2019	강동구	소계	29,080	141,770	621	1,521	4,604	11,349	7,426	31,201	9,928	54,198	6,501	43,501
2019	강동구	강일동	962	17,586	17	68	187	486	261	1,495	343	6,576	154	8,961
2019	강동구	상일동	918	5,176	21	42	113	234	200	776	361	1,787	223	2,337
2019	강동구	명일1동	1,739	6,643	25	55	265	678	452	1,660	583	3,037	414	1,213
2019	강동구	명일2동	987	3,944	15	37	117	363	314	1,103	314	1,450	227	991
2019	강동구	고덕1동	732	2,670	8	17	113	242	202	625	281	1,108	128	678
2019	강동구	고덕2동	677	2,548	9	24	104	246	154	497	251	1,081	159	700
2019	강동구	암사2동	838	3,711	14	29	155	410	208	889	280	965	181	1,418
2019	강동구	암사3동	576	2,185	11	26	98	207	149	638	203	863	115	451
2019	강동구	천호1동	1,534	5,332	49	118	218	426	398	1,309	514	2,341	355	1,138
2019	강동구	천호3동	1,830	7,474	54	131	316	775	457	2,109	581	2,551	422	1,908
2019	강동구	성내1동	2,048	17,777	37	97	282	751	541	3,061	685	10,119	503	3,749
2019	강동구	성내2동	1,836	6,770	36	84	325	945	453	1,715	609	2,237	413	1,789
2019	강동구	성내3동	2,439	9,117	73	172	337	974	635	2,525	810	2,850	584	2,596
2019	강동구	둔촌1동	17	283	1	2	-	-	4	98	6	144	6	39
2019	강동구	둔촌2동	1,553	9,463	25	58	239	535	332	2,210	550	1,964	407	4,696
2019	강동구	암사1동	1,918	5,646	53	118	297	669	472	1,384	646	1,837	450	1,638
2019	강동구	천호2동	3,439	14,208	83	239	548	1,569	967	3,999	1,130	5,880	711	2,521
2019	강동구	길동	5,037	21,237	90	204	890	1,839	1,227	5,108	1,781	7,408	1,049	6,678
