기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	성동구	송정동	711	2,709	20	29	127	241	150	400	223	1,057	191	982
2019	성동구	용답동	1,864	13,279	45	115	213	745	505	2,132	641	6,281	460	4,006
2019	성동구	왕십리도선동	2,176	10,015	63	147	414	1,408	612	3,016	661	3,443	426	2,001
2019	성동구	금호2.3가동	1,013	2,670	22	31	178	389	251	669	307	1,016	255	565
2019	성동구	옥수동	868	4,189	19	38	164	602	276	1,659	242	1,158	167	732
2019	광진구	소계	24,445	126,305	737	1,875	3,738	11,407	6,212	29,068	7,898	46,193	5,860	37,762
2019	광진구	화양동	2,447	15,023	121	339	587	2,087	645	2,908	637	3,733	457	5,956
2019	광진구	군자동	1,593	10,021	54	135	236	751	398	2,012	513	2,743	392	4,380
2019	광진구	중곡1동	1,588	6,288	51	124	189	472	399	1,861	575	2,587	374	1,244
2019	광진구	중곡2동	1,674	6,959	38	75	221	745	420	1,816	603	3,068	392	1,255
2019	광진구	중곡3동	1,301	4,543	33	85	157	346	296	1,378	465	1,620	350	1,114
2019	광진구	중곡4동	1,524	4,751	40	120	194	489	331	893	538	1,921	421	1,328
2019	광진구	능동	802	5,723	14	36	146	469	205	1,212	251	2,576	186	1,430
2019	광진구	구의1동	1,760	6,989	47	112	252	626	442	2,240	563	2,257	456	1,754
2019	광진구	구의2동	1,309	5,912	35	73	190	504	303	1,965	407	1,782	374	1,588
2019	광진구	구의3동	2,695	16,544	63	149	443	1,462	808	3,904	829	6,869	552	4,160
2019	광진구	광장동	1,398	16,114	30	90	143	457	390	1,975	508	7,543	327	6,049
2019	광진구	자양1동	1,780	8,987	49	111	255	712	457	2,454	618	2,582	401	3,128
2019	광진구	자양2동	1,433	6,095	44	84	196	496	325	1,227	455	2,799	413	1,489
2019	광진구	자양3동	1,324	6,185	51	149	233	845	350	1,721	395	2,068	295	1,402
2019	광진구	자양4동	1,817	6,171	67	193	296	946	443	1,502	541	2,045	470	1,485
2019	동대문구	소계	31,324	138,400	673	1,629	4,171	11,295	7,988	33,181	10,328	50,930	8,164	41,365
2019	동대문구	회기동	1,034	10,615	64	136	237	670	289	965	267	4,526	177	4,318
2019	동대문구	휘경1동	929	3,558	20	40	118	341	226	971	285	1,170	280	1,036
2019	동대문구	휘경2동	1,221	4,930	19	31	275	447	264	1,006	442	1,616	221	1,830
2019	동대문구	청량리동	1,614	8,267	22	64	170	398	381	1,874	509	2,328	532	3,603
2019	동대문구	용신동	5,195	28,569	89	257	513	1,936	1,416	5,350	1,754	12,393	1,423	8,633
2019	동대문구	제기동	4,632	13,499	99	218	357	890	1,164	4,262	1,428	4,398	1,584	3,731
2019	동대문구	전농1동	2,262	7,802	72	181	351	880	611	1,909	696	2,865	532	1,967
2019	동대문구	전농2동	920	4,853	17	31	131	265	226	2,514	339	1,567	207	476
2019	동대문구	답십리1동	1,971	8,041	28	55	345	963	474	2,059	644	2,748	480	2,216
2019	동대문구	답십리2동	2,187	7,544	40	110	257	659	524	1,755	802	3,144	564	1,876
2019	동대문구	장안1동	4,409	20,501	97	244	659	1,815	1,113	5,629	1,520	7,388	1,020	5,425
2019	동대문구	장안2동	3,071	11,503	62	169	455	1,340	799	3,202	1,031	4,156	724	2,636
2019	동대문구	이문1동	1,191	6,425	33	72	197	494	322	1,053	372	1,644	267	3,162
2019	동대문구	이문2동	688	2,293	11	21	106	197	179	632	239	987	153	456
2019	중랑구	소계	28,228	103,345	549	1,434	3,463	9,152	6,297	23,662	10,352	45,361	7,567	23,736
2019	중랑구	면목2동	2,062	6,306	38	118	219	514	491	1,536	804	2,720	510	1,418
2019	중랑구	면목4동	1,172	3,839	18	33	147	339	227	698	454	1,514	326	1,255
2019	중랑구	면목5동	830	3,050	11	28	76	320	174	575	349	1,383	220	744
2019	중랑구	면목7동	1,477	4,335	36	62	174	428	360	1,094	498	1,719	409	1,032
2019	중랑구	상봉1동	1,171	6,638	34	80	174	715	258	1,306	416	2,887	289	1,650
2019	중랑구	상봉2동	2,159	9,306	68	150	295	985	470	2,171	714	4,074	612	1,926
2019	중랑구	중화1동	1,089	3,590	17	39	107	232	246	1,061	424	1,546	295	712
2019	중랑구	중화2동	2,111	6,771	38	110	236	563	534	1,576	748	2,372	555	2,150
2019	중랑구	묵1동	1,555	5,736	28	71	231	576	374	1,788	504	2,007	418	1,294
2019	중랑구	묵2동	1,811	4,688	33	88	205	387	400	1,159	676	2,018	497	1,036
2019	중랑구	망우3동	1,132	3,746	22	47	114	445	256	784	440	1,573	300	897
2019	중랑구	신내1동	2,017	11,518	38	91	277	624	480	2,578	700	6,107	522	2,118
2019	중랑구	신내2동	1,120	6,468	19	82	135	399	263	1,202	393	3,820	310	965
2019	중랑구	면목본동	2,572	7,681	55	159	299	847	561	1,716	1,031	3,342	626	1,617
2019	중랑구	면목3.8동	2,123	7,671	45	128	272	752	481	1,783	773	3,042	552	1,966
2019	중랑구	망우본동	3,827	12,002	49	148	502	1,026	722	2,635	1,428	5,237	1,126	2,956
2019	성북구	소계	23,617	111,005	602	1,782	3,149	9,709	5,975	24,478	7,645	38,574	6,246	36,462
2019	성북구	돈암1동	386	2,116	6	22	38	125	92	402	115	926	135	641
2019	성북구	돈암2동	421	2,477	8	11	43	109	102	404	158	786	110	1,167
2019	성북구	안암동	1,431	13,406	62	208	266	820	399	4,266	439	2,652	265	5,460
2019	성북구	보문동	1,294	5,461	30	59	150	429	293	1,059	466	1,968	355	1,946
