기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	구로구	오류1동	2	6,897	16,954	-	-	-	-	-	-	-	-	-	1	4,389	13,224	-	-	-	1	2,508	3,730
2019	구로구	구로2동	5	119,578	496,540	1	11,822	59,898	-	-	-	-	-	-	-	-	-	-	-	-	4	107,756	436,642
2019	금천구	소계	15	337,626	1,014,854	3	51,761	160,588	-	-	-	-	-	-	6	114,558	532,549	1	24,948	98,996	5	146,359	222,721
2019	금천구	가산동	5	105,975	355,243	-	-	-	-	-	-	-	-	-	4	81,027	256,247	1	24,948	98,996	-	-	-
2019	금천구	독산1동	7	90,228	560,715	2	36,789	99,953	-	-	-	-	-	-	2	33,531	276,302	-	-	-	3	19,908	184,460
2019	금천구	시흥1동	1	14,972	60,635	1	14,972	60,635	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	금천구	시흥3동	2	126,451	38,261	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	126,451	38,261
2019	영등포구	소계	28	342,134	1,248,636	5	58,789	392,973	2	50,499	146,749	2	11,963	113,125	3	82,630	385,067	1	38,727	84,288	15	99,526	126,434
2019	영등포구	여의도동	2	41,939	288,192	1	3,212	203,904	-	-	-	-	-	-	-	-	-	1	38,727	84,288	-	-	-
2019	영등포구	당산1동	1	21,754	21,754	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	21,754	21,754
2019	영등포구	당산2동	1	4,447	6,123	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,447	6,123
2019	영등포구	양평1동	2	22,167	75,927	2	22,167	75,927	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	영등포구	신길1동	1	1,574	1,574	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,574	1,574
2019	영등포구	신길3동	3	11,267	11,267	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11,267	11,267
2019	영등포구	신길6동	1	1,822	11,549	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,822	11,549
2019	영등포구	대림1동	1	2,149	9,726	-	-	-	-	-	-	-	-	-	1	2,149	9,726	-	-	-	-	-	-
2019	영등포구	대림2동	1	19,797	19,797	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	19,797	19,797
2019	영등포구	대림3동	1	1,509	17,013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,509	17,013
2019	영등포구	영등포본동	1	38,605	128,171	-	-	-	1	38,605	128,171	-	-	-	-	-	-	-	-	-	-	-	-
2019	영등포구	영등포동	8	112,688	453,341	1	7,891	47,000	1	11,894	18,578	-	-	-	2	80,481	375,341	-	-	-	4	12,422	12,422
2019	영등포구	도림동	1	1,794	1,794	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,794	1,794
2019	영등포구	문래동	4	60,622	202,407	1	25,519	66,142	-	-	-	2	11,963	113,125	-	-	-	-	-	-	1	23,140	23,140
2019	동작구	소계	6	23,288	35,219	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	5	11,388	19,971
2019	동작구	상도1동	1	1,182	2,323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,182	2,323
2019	동작구	상도2동	1	1,699	4,865	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,699	4,865
2019	동작구	상도3동	1	1,905	4,076	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,905	4,076
2019	동작구	사당4동	1	1,551	1,798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,551	1,798
2019	동작구	흑석동	1	5,051	6,909	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,051	6,909
2019	동작구	사당2동	1	11,900	15,248	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	-	-	-
2019	관악구	소계	21	90,445	318,912	1	8,692	32,282	1	21,061	91,674	-	-	-	1	3,384	7,870	3	23,568	87,195	15	33,739	99,891
2019	관악구	보라매동	1	21,061	91,674	-	-	-	1	21,061	91,674	-	-	-	-	-	-	-	-	-	-	-	-
2019	관악구	청림동	2	5,331	36,626	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5,331	36,626
2019	관악구	행운동	1	3,384	7,870	-	-	-	-	-	-	-	-	-	1	3,384	7,870	-	-	-	-	-	-
2019	관악구	중앙동	1	2,725	3,406	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,725	3,406
2019	관악구	인헌동	1	1,725	2,058	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,725	2,058
2019	관악구	남현동	1	8,692	32,282	1	8,692	32,282	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	관악구	서원동	1	16,159	37,758	-	-	-	-	-	-	-	-	-	-	-	-	1	16,159	37,758	-	-	-
2019	관악구	신원동	1	996	2,036	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	996	2,036
2019	관악구	서림동	1	2,072	5,053	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,072	5,053
2019	관악구	신사동	1	2,740	4,059	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,740	4,059
2019	관악구	신림동	1	4,053	22,987	-	-	-	-	-	-	-	-	-	-	-	-	1	4,053	22,987	-	-	-
2019	관악구	조원동	1	3,821	6,280	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,821	6,280
2019	관악구	대학동	1	4,380	23,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,380	23,320
2019	관악구	은천동	2	3,568	5,676	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,568	5,676
2019	관악구	청룡동	2	4,867	30,226	-	-	-	-	-	-	-	-	-	-	-	-	1	3,356	26,450	1	1,511	3,776
2019	관악구	난곡동	1	925	1,726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	925	1,726
2019	관악구	삼성동	1	1,827	1,024	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,827	1,024
2019	관악구	미성동	1	2,119	4,850	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,119	4,850
2019	서초구	소계	28	310,321	1,555,646	4	32,676	355,985	2	68,781	286,004	3	54,034	231,184	-	-	-	-	-	-	19	154,830	682,473
2019	서초구	서초1동	2	36,737	136,990	-	-	-	-	-	-	1	33,736	107,508	-	-	-	-	-	-	1	3,001	29,482
2019	서초구	서초2동	3	11,856	22,687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11,856	22,687
2019	서초구	서초3동	1	10,618	147,222	1	10,618	147,222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	서초구	서초4동	4	15,907	363,833	-	-	-	-	-	-	1	5,233	92,717	-	-	-	-	-	-	3	10,674	271,116
2019	서초구	잠원동	3	8,921	16,920	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	8,921	16,920
2019	서초구	반포본동	1	2,803	23,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,803	23,710
2019	서초구	반포1동	1	1,256	1,844	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,256	1,844
2019	서초구	반포2동	1	9,564	12,329	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	9,564	12,329
2019	서초구	반포3동	3	31,412	66,959	1	3,752	17,048	1	12,595	18,952	1	15,065	30,959	-	-	-	-	-	-	-	-	-
2019	서초구	반포4동	2	112,565	377,755	-	-	-	1	56,186	267,052	-	-	-	-	-	-	-	-	-	1	56,379	110,703
2019	서초구	방배본동	1	4,958	5,975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,958	5,975
2019	서초구	방배2동	1	3,080	3,605	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,080	3,605
2019	서초구	방배4동	1	6,446	21,498	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,446	21,498
2019	서초구	양재1동	1	1,127	2,525	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,127	2,525
2019	서초구	양재2동	3	53,071	351,794	2	18,306	191,715	-	-	-	-	-	-	-	-	-	-	-	-	1	34,765	160,079
2019	강남구	소계	32	255,893	1,815,204	1	5,174	46,778	6	132,245	318,845	-	-	-	3	18,083	443,334	1	30,317	701,880	21	70,074	304,367
2019	강남구	신사동	2	38,313	62,541	-	-	-	1	35,251	58,763	-	-	-	-	-	-	-	-	-	1	3,062	3,778
2019	강남구	논현1동	1	2,350	21,735	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,350	21,735
2019	강남구	논현2동	2	4,674	7,218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,674	7,218
2019	강남구	삼성1동	5	94,511	1,245,178	-	-	-	1	46,111	99,964	-	-	-	3	18,083	443,334	1	30,317	701,880	-	-	-
2019	강남구	삼성2동	1	3,038	10,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,038	10,284
2019	강남구	대치1동	2	7,894	16,433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,894	16,433
2019	강남구	대치4동	1	26,000	63,156	-	-	-	1	26,000	63,156	-	-	-	-	-	-	-	-	-	-	-	-
2019	강남구	역삼1동	2	6,967	34,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,967	34,820
2019	강남구	역삼2동	2	13,295	93,655	1	5,174	46,778	-	-	-	-	-	-	-	-	-	-	-	-	1	8,121	46,877
2019	강남구	도곡2동	1	7,916	102,379	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,916	102,379
2019	강남구	일원1동	1	1,025	4,165	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,025	4,165
2019	강남구	일원2동	2	3,884	6,253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,884	6,253
2019	강남구	수서동	1	1,713	3,051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,713	3,051
2019	강남구	압구정동	4	24,189	55,947	-	-	-	2	22,156	42,496	-	-	-	-	-	-	-	-	-	2	2,033	13,451
2019	강남구	청담동	3	10,797	71,690	-	-	-	1	2,727	54,466	-	-	-	-	-	-	-	-	-	2	8,070	17,224
2019	강남구	대치2동	2	9,327	16,699	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	9,327	16,699
2019	송파구	소계	22	349,032	5,866,062	4	60,029	963,551	2	90,670	1,371,828	2	8,000	1,391,152	3	127,484	1,325,202	-	-	-	11	62,849	814,329
2019	송파구	마천1동	1	6,409	23,916	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,409	23,916
2019	송파구	마천2동	1	3,871	3,871	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,871	3,871
2019	송파구	오륜동	1	6,431	24,168	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,431	24,168
2019	송파구	오금동	1	1,663	24,183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,663	24,183
2019	송파구	송파1동	1	5,269	7,966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,269	7,966
2019	송파구	석촌동	1	2,771	4,296	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,771	4,296
2019	송파구	가락2동	1	2,890	14,520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,890	14,520
2019	송파구	문정2동	3	95,281	775,094	1	13,780	74,403	-	-	-	-	-	-	1	68,994	274,056	-	-	-	1	12,507	426,635
2019	송파구	잠실6동	6	107,125	3,524,247	2	26,040	857,729	1	18,088	807,686	1	4,507	807,686	2	58,490	1,051,146	-	-	-	-	-	-
2019	송파구	잠실7동	1	7,225	8,119	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,225	8,119
2019	송파구	잠실3동	5	110,097	1,455,682	1	20,209	31,419	1	72,582	564,142	1	3,493	583,466	-	-	-	-	-	-	2	13,813	276,655
2019	강동구	소계	12	114,448	424,984	3	25,823	108,225	1	33,980	99,661	-	-	-	-	-	-	-	-	-	8	54,645	217,098
2019	강동구	명일2동	2	18,143	42,545	1	8,659	27,913	-	-	-	-	-	-	-	-	-	-	-	-	1	9,484	14,632
2019	강동구	천호1동	1	8,083	63,018	1	8,083	63,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	강동구	천호3동	2	17,783	63,678	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	17,783	63,678
2019	강동구	성내2동	1	3,295	15,438	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,295	15,438
2019	강동구	성내3동	1	2,486	23,910	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,486	23,910
2019	강동구	천호2동	3	58,142	172,624	1	9,081	17,294	1	33,980	99,661	-	-	-	-	-	-	-	-	-	1	15,081	55,669
2019	강동구	길동	2	6,515	43,772	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	6,515	43,772
