기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	동대문구	제기동	3,121	2,906	216	106	1,508	296	780	137	78
2019	동대문구	전농1동	914	690	68	104	135	121	262	106	118
2019	동대문구	전농2동	816	734	25	41	395	36	237	35	47
2019	동대문구	답십리2동	657	470	62	83	52	108	165	93	94
2019	동대문구	장안1동	1,126	811	135	140	51	158	327	161	154
2019	동대문구	장안2동	768	529	87	106	24	90	222	109	130
2019	동대문구	이문1동	4,151	4,023	172	80	2,444	184	1,143	74	54
2019	동대문구	이문2동	816	655	49	59	188	88	271	69	92
2019	동대문구	답십리1동	749	563	81	80	72	123	207	91	95
2019	중랑구	계	9,785	7,091	941	1,184	695	1,375	2,896	1,291	1,403
2019	중랑구	면목2동	686	505	67	87	40	96	215	85	96
2019	중랑구	면목4동	647	465	56	83	36	81	209	93	89
2019	중랑구	면목5동	258	165	29	29	9	27	71	45	48
2019	중랑구	면목7동	593	464	67	55	50	94	198	64	65
2019	중랑구	상봉1동	356	232	36	51	5	53	87	46	78
2019	중랑구	상봉2동	710	554	89	73	49	151	192	86	70
2019	중랑구	중화1동	371	223	19	59	14	41	90	63	85
2019	중랑구	중화2동	1,054	801	145	103	61	189	303	149	104
2019	중랑구	묵1동	408	256	18	74	21	50	93	60	92
2019	중랑구	묵2동	470	347	44	67	33	64	139	58	65
2019	중랑구	망우3동	636	471	31	72	80	38	250	75	90
2019	중랑구	신내1동	360	203	32	57	6	33	75	53	104
2019	중랑구	신내2동	207	134	17	43	***	35	37	31	42
2019	중랑구	면목본동	1,545	1,176	167	150	164	240	455	200	169
2019	중랑구	면목3.8동	799	597	59	88	93	100	257	99	103
2019	중랑구	망우본동	685	498	65	93	32	83	225	84	103
2019	성북구	계	17,976	15,552	916	1,067	6,727	1,298	5,544	1,021	1,403
2019	성북구	돈암1동	220	169	6	28	32	32	71	19	32
2019	성북구	돈암2동	264	188	10	46	8	55	69	18	58
2019	성북구	안암동	2,677	2,596	132	44	1,542	117	761	40	41
2019	성북구	보문동	643	516	67	55	100	91	203	58	69
2019	성북구	정릉1동	296	231	12	30	79	24	86	25	40
2019	성북구	정릉2동	470	370	16	52	139	29	134	39	61
2019	성북구	정릉3동	2,414	2,314	36	36	1,517	51	674	40	60
2019	성북구	정릉4동	691	562	25	68	225	45	199	50	79
2019	성북구	길음1동	437	297	12	51	10	55	169	50	90
2019	성북구	길음2동	311	235	12	32	65	50	76	30	46
2019	성북구	월곡1동	497	316	42	71	20	71	112	76	105
2019	성북구	월곡2동	933	783	94	72	226	66	325	64	86
2019	성북구	장위1동	406	267	33	65	20	36	113	58	81
2019	성북구	장위2동	459	349	39	43	55	24	188	54	56
2019	성북구	장위3동	399	317	23	30	88	40	136	31	51
2019	성북구	성북동	779	655	34	52	63	77	429	51	73
2019	성북구	삼선동	928	807	55	48	352	82	270	52	69
2019	성북구	동선동	1,046	994	50	32	551	66	295	21	31
2019	성북구	종암동	2,503	2,256	98	83	1,244	115	716	116	131
2019	성북구	석관동	1,603	1,330	120	129	391	172	518	129	144
2019	강북구	계	7,530	5,346	639	954	723	1,086	1,944	978	1,206
2019	강북구	번1동	757	593	75	81	110	152	175	90	74
2019	강북구	번2동	296	186	12	53	5	26	90	40	70
