기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	강남구	역삼2동	777	670	123	59	11	174	303	37	70
2019	강남구	도곡1동	347	269	52	42	***	79	93	21	57
2019	강남구	도곡2동	648	515	43	61	5	198	208	22	111
2019	강남구	개포1동	99	81	***	10	***	24	46	9	9
2019	강남구	개포4동	363	273	46	35	6	66	120	32	58
2019	강남구	일원본동	131	84	***	12	***	44	28	7	40
2019	강남구	일원1동	355	258	52	49	***	71	86	38	59
2019	강남구	일원2동	194	141	40	20	***	31	49	16	37
2019	강남구	수서동	263	192	22	35	***	67	66	21	50
2019	강남구	세곡동	598	347	66	83	***	85	112	77	174
2019	강남구	압구정동	753	624	61	74	10	209	270	33	96
2019	강남구	청담동	772	633	64	93	14	199	263	35	104
2019	강남구	대치2동	416	357	70	28	7	103	149	17	42
2019	강남구	개포2동	176	137	***	26	***	52	55	12	27
2019	송파구	계	14,126	10,917	2,444	1,485	141	3,069	3,778	1,430	1,779
2019	송파구	풍납1동	1,438	1,201	389	98	10	415	289	160	77
2019	송파구	풍납2동	385	275	58	34	7	66	110	56	54
2019	송파구	거여1동	235	144	29	33	***	36	44	37	54
2019	송파구	거여2동	210	143	19	44	5	33	42	33	34
2019	송파구	마천1동	437	263	57	72	***	58	74	72	102
2019	송파구	마천2동	463	268	55	60	***	68	85	94	101
2019	송파구	방이1동	250	207	42	22	***	59	82	19	24
2019	송파구	방이2동	936	797	201	85	31	179	301	80	59
2019	송파구	오륜동	116	89	7	12	***	42	28	***	26
2019	송파구	오금동	618	412	61	76	***	96	178	87	119
2019	송파구	송파1동	841	687	159	77	8	178	265	95	59
2019	송파구	송파2동	340	263	51	36	***	85	89	32	45
2019	송파구	석촌동	1,297	1,071	326	103	15	305	322	137	89
2019	송파구	삼전동	818	615	147	84	10	166	208	105	98
2019	송파구	가락본동	655	545	156	57	6	176	150	58	52
2019	송파구	가락1동	279	200	***	59	***	62	76	12	67
2019	송파구	가락2동	453	339	87	43	7	84	118	58	56
2019	송파구	문정1동	417	318	76	55	***	92	91	36	63
2019	송파구	문정2동	489	415	56	67	***	127	162	22	52
2019	송파구	잠실본동	1,066	917	268	86	17	288	258	81	68
2019	송파구	잠실4동	263	198	***	32	***	55	105	9	56
2019	송파구	잠실6동	381	325	30	25	***	50	220	7	49
2019	송파구	잠실7동	124	103	***	13	***	53	35	***	17
2019	송파구	잠실2동	342	226	5	50	***	72	99	28	88
2019	송파구	잠실3동	484	401	56	49	***	113	183	13	70
2019	송파구	장지동	521	349	94	62	***	69	121	64	108
2019	송파구	위례동	268	146	7	51	***	42	43	30	92
2019	강동구	계	9,131	6,669	1,568	1,003	145	1,916	2,037	1,163	1,299
2019	강동구	강일동	413	217	41	53	***	31	92	76	120
2019	강동구	상일동	203	131	33	22	***	22	53	30	42
2019	강동구	명일1동	207	137	17	36	***	35	48	23	47
2019	강동구	명일2동	103	68	17	17	***	15	19	7	28
2019	강동구	고덕1동	262	179	53	25	***	48	52	24	59
2019	강동구	고덕2동	262	171	47	29	***	43	51	34	57
2019	강동구	암사2동	107	63	12	14	***	13	23	17	27
2019	강동구	암사3동	180	110	15	27	***	34	33	22	48
2019	강동구	천호1동	637	411	70	103	6	112	120	106	120
2019	강동구	천호3동	1,095	877	224	99	28	299	227	129	89
2019	강동구	성내1동	324	216	28	42	6	56	84	43	65
2019	강동구	성내2동	1,432	1,208	347	95	19	402	345	151	73
2019	강동구	성내3동	516	398	115	53	24	76	130	53	65
2019	강동구	둔촌1동	7	7	***	***	***	***	6	***	***
2019	강동구	둔촌2동	353	243	52	32	***	82	74	40	70
2019	강동구	암사1동	706	497	73	113	8	124	179	94	115
2019	강동구	천호2동	1,538	1,224	315	146	34	385	344	179	135
2019	강동구	길동	786	512	108	97	11	139	157	135	139
