기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	관악구	인헌동	351	-	468	310	407	31	52	10	9	-	-
2019	관악구	남현동	168	-	205	149	180	10	13	9	12	-	-
2019	관악구	서원동	471	-	647	378	491	75	133	18	23	-	-
2019	관악구	신원동	598	-	778	501	629	76	119	21	30	-	-
2019	관악구	서림동	540	-	717	412	517	107	170	21	30	-	-
2019	관악구	신사동	650	-	912	517	698	106	172	27	42	-	-
2019	관악구	신림동	411	-	471	320	361	82	101	9	9	-	-
2019	관악구	난향동	391	-	536	323	428	37	63	31	45	-	-
2019	관악구	조원동	400	-	511	339	438	55	66	6	7	-	-
2019	관악구	대학동	572	-	659	421	471	133	163	18	25	-	-
2019	관악구	은천동	945	-	1,254	822	1,043	86	164	37	47	-	-
2019	관악구	성현동	946	-	1,279	785	1,016	103	192	58	71	-	-
2019	관악구	청룡동	552	-	677	453	542	66	93	33	42	-	-
2019	관악구	난곡동	1,114	-	1,563	938	1,260	134	245	42	58	-	-
2019	관악구	삼성동	958	-	1,278	853	1,093	80	155	25	30	-	-
2019	관악구	미성동	679	-	976	553	721	90	198	36	57	-	-
2019	관악구	기타	5	33	416	4	2	1	-	-	-	33	414
2019	서초구	소계	4,030	6	6,009	3,587	4,942	394	840	49	64	6	163
2019	서초구	서초1동	215	-	269	194	231	21	38	-	-	-	-
2019	서초구	서초2동	73	-	88	67	76	6	12	-	-	-	-
2019	서초구	서초3동	215	-	295	194	249	19	42	2	4	-	-
2019	서초구	서초4동	36	-	39	35	38	1	1	-	-	-	-
2019	서초구	잠원동	207	-	247	194	225	13	22	-	-	-	-
2019	서초구	반포본동	17	-	38	16	37	1	1	-	-	-	-
2019	서초구	반포1동	216	-	283	188	230	24	49	4	4	-	-
2019	서초구	반포2동	5	-	5	5	5	-	-	-	-	-	-
2019	서초구	반포3동	17	-	22	16	21	1	1	-	-	-	-
2019	서초구	반포4동	53	-	83	45	65	7	15	1	3	-	-
2019	서초구	방배본동	184	-	260	162	221	20	37	2	2	-	-
2019	서초구	방배1동	204	-	251	179	215	17	27	8	9	-	-
2019	서초구	방배2동	289	-	381	271	341	16	38	2	2	-	-
2019	서초구	방배3동	201	-	286	171	230	25	50	5	6	-	-
2019	서초구	방배4동	190	-	249	175	226	12	20	3	3	-	-
2019	서초구	양재1동	1,170	-	1,875	1,044	1,584	115	272	11	19	-	-
2019	서초구	양재2동	366	-	510	318	436	43	69	5	5	-	-
2019	서초구	내곡동	370	-	664	311	511	53	146	6	7	-	-
2019	서초구	기타	2	6	164	2	1	-	-	-	-	6	163
2019	강남구	소계	8,372	11	12,886	6,696	8,950	1,393	2,891	283	449	11	596
2019	강남구	신사동	113	-	149	91	106	18	33	4	10	-	-
2019	강남구	논현1동	368	-	521	286	369	64	126	18	26	-	-
2019	강남구	논현2동	275	-	393	204	266	62	116	9	11	-	-
2019	강남구	삼성1동	83	-	133	50	70	28	57	5	6	-	-
2019	강남구	삼성2동	271	-	401	206	273	58	112	7	16	-	-
2019	강남구	대치1동	13	-	21	10	15	1	2	2	4	-	-
2019	강남구	대치4동	264	-	391	193	268	71	123	-	-	-	-
2019	강남구	역삼1동	470	-	641	340	431	124	203	6	7	-	-
2019	강남구	역삼2동	287	-	370	232	269	52	96	3	5	-	-
2019	강남구	도곡1동	91	-	110	69	75	22	35	-	-	-	-
2019	강남구	도곡2동	39	-	48	32	37	7	11	-	-	-	-
2019	강남구	개포1동	113	-	145	91	106	21	38	1	1	-	-
2019	강남구	개포4동	366	-	547	267	363	75	152	24	32	-	-
2019	강남구	일원본동	48	-	73	42	57	6	16	-	-	-	-
2019	강남구	일원1동	1,033	-	1,526	817	1,126	168	325	48	75	-	-
2019	강남구	일원2동	823	-	1,141	726	968	83	152	14	21	-	-
2019	강남구	수서동	2,230	-	3,079	1,889	2,400	257	558	84	121	-	-
2019	강남구	세곡동	1,067	-	2,033	806	1,332	213	602	48	99	-	-
2019	강남구	압구정동	71	-	81	62	66	9	15	-	-	-	-
2019	강남구	청담동	122	-	185	100	133	22	52	-	-	-	-
2019	강남구	대치2동	110	-	149	87	105	18	39	5	5	-	-
2019	강남구	개포2동	105	-	145	86	107	14	28	5	10	-	-
2019	강남구	기타	10	11	604	10	8	-	-	-	-	11	596
2019	송파구	소계	8,890	19	13,509	7,285	10,245	1,347	2,552	258	326	19	386
2019	송파구	풍납1동	369	-	457	306	357	52	90	11	10	-	-
2019	송파구	풍납2동	319	-	454	275	383	32	54	12	17	-	-
2019	송파구	거여1동	367	-	520	308	419	50	89	9	12	-	-
2019	송파구	거여2동	476	-	641	402	508	58	113	16	20	-	-
2019	송파구	마천1동	926	-	1,384	781	1,121	125	234	20	29	-	-
2019	송파구	마천2동	878	-	1,304	717	1,014	142	269	19	21	-	-
2019	송파구	방이1동	153	-	264	125	201	25	58	3	5	-	-
2019	송파구	방이2동	434	-	597	360	477	68	111	6	9	-	-
2019	송파구	오륜동	11	-	11	11	11	-	-	-	-	-	-
2019	송파구	오금동	763	-	1,246	615	967	125	248	23	31	-	-
2019	송파구	송파1동	343	-	463	256	331	73	114	14	18	-	-
2019	송파구	송파2동	203	-	302	151	197	42	92	10	13	-	-
2019	송파구	석촌동	585	-	838	475	645	88	163	22	30	-	-
2019	송파구	삼전동	571	-	867	465	685	88	162	18	20	-	-
2019	송파구	가락본동	344	-	456	297	381	44	72	3	3	-	-
2019	송파구	가락1동	61	-	84	53	69	4	8	4	7	-	-
2019	송파구	가락2동	299	-	453	235	341	44	91	20	21	-	-
2019	송파구	문정1동	223	-	320	188	257	30	56	5	7	-	-
2019	송파구	문정2동	63	-	75	54	66	7	6	2	3	-	-
2019	송파구	장지동	677	-	1,168	531	850	126	293	20	25	-	-
2019	송파구	위례동	224	-	413	187	326	32	79	5	8	-	-
2019	송파구	잠실본동	501	-	674	408	536	78	122	15	16	-	-
2019	송파구	잠실4동	14	-	17	11	12	3	5	-	-	-	-
2019	송파구	잠실6동	22	-	34	18	25	4	9	-	-	-	-
2019	송파구	잠실7동	7	-	12	7	12	-	-	-	-	-	-
2019	송파구	잠실2동	21	-	26	17	19	4	7	-	-	-	-
2019	송파구	잠실3동	33	-	40	30	34	2	5	1	1	-	-
2019	송파구	기타	3	19	389	2	1	1	2	-	-	19	386
2019	강동구	소계	8,154	26	11,753	6,793	8,986	1,015	1,820	346	471	26	476
2019	강동구	강일동	589	-	981	470	744	71	161	48	76	-	-
2019	강동구	상일동	199	-	261	171	206	22	44	6	11	-	-
2019	강동구	명일1동	232	-	309	186	230	35	63	11	16	-	-
2019	강동구	명일2동	113	-	169	95	138	13	24	5	7	-	-
2019	강동구	고덕1동	215	-	294	183	241	20	38	12	15	-	-
2019	강동구	고덕2동	371	-	511	312	409	41	78	18	24	-	-
2019	강동구	암사2동	107	-	126	95	108	11	17	1	1	-	-
2019	강동구	암사3동	67	-	84	64	74	3	10	-	-	-	-
2019	강동구	천호1동	842	-	1,177	713	953	99	179	30	45	-	-
2019	강동구	천호3동	895	-	1,134	742	903	118	189	35	42	-	-
2019	강동구	성내1동	168	-	231	141	189	24	38	3	4	-	-
2019	강동구	성내2동	537	-	643	463	541	63	90	11	12	-	-
2019	강동구	성내3동	353	-	483	283	375	58	91	12	17	-	-
2019	강동구	둔촌1동	1	-	2	1	2	-	-	-	-	-	-
2019	강동구	둔촌2동	347	-	477	274	356	53	96	20	25	-	-
2019	강동구	암사1동	1,034	-	1,535	882	1,263	114	215	38	57	-	-
2019	강동구	천호2동	1,207	-	1,658	1,003	1,320	150	268	54	70	-	-
2019	강동구	길동	872	-	1,198	710	930	120	219	42	49	-	-
2019	강동구	기타	5	26	480	5	4	-	-	-	-	26	476
