기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	광진구	군자동	549	-	725	478	614	62	96	9	15	-	-
2019	광진구	중곡1동	526	-	760	467	650	44	82	15	28	-	-
2019	광진구	중곡2동	495	-	701	430	581	63	117	2	3	-	-
2019	광진구	중곡3동	641	-	931	570	793	64	128	7	10	-	-
2019	광진구	중곡4동	790	-	1,131	690	943	75	150	25	38	-	-
2019	광진구	능동	180	-	256	149	204	22	40	9	12	-	-
2019	광진구	구의1동	439	-	612	390	517	47	92	2	3	-	-
2019	광진구	구의2동	570	-	794	500	669	65	120	5	5	-	-
2019	광진구	구의3동	299	-	432	264	357	32	67	3	8	-	-
2019	광진구	광장동	157	-	212	146	197	9	13	2	2	-	-
2019	광진구	자양1동	681	-	962	575	782	75	141	31	39	-	-
2019	광진구	자양2동	464	-	664	398	525	56	123	10	16	-	-
2019	광진구	자양3동	216	-	279	188	237	24	37	4	5	-	-
2019	광진구	자양4동	619	-	753	562	670	40	61	17	22	-	-
2019	광진구	기타	1	16	75	1	-	-	-	-	-	16	75
2019	동대문구	소계	10,058	26	13,226	8,662	10,856	798	1,329	598	832	26	209
2019	동대문구	회기동	171	-	213	153	188	11	17	7	8	-	-
2019	동대문구	휘경1동	366	-	485	306	394	34	52	26	39	-	-
2019	동대문구	휘경2동	388	-	537	334	447	30	60	24	30	-	-
2019	동대문구	청량리동	1,271	-	1,533	1,117	1,303	98	157	56	73	-	-
2019	동대문구	용신동	1,109	-	1,309	967	1,114	96	130	46	65	-	-
2019	동대문구	제기동	1,020	-	1,224	857	986	89	128	74	110	-	-
2019	동대문구	전농1동	1,282	-	1,598	1,093	1,320	99	153	90	125	-	-
2019	동대문구	전농2동	463	-	668	400	567	26	50	37	51	-	-
2019	동대문구	답십리1동	507	-	700	427	557	47	100	33	43	-	-
2019	동대문구	답십리2동	816	-	1,082	709	915	47	83	60	84	-	-
