기간,자치구,종류별,합계,합계,직장(근로자),직장(근로자),공무원·교직원,공무원·교직원,지역,지역
기간,자치구,종류별,건수,금액,건수,금액,건수,금액,건수,금액
2015,서대문구,외래,"5,087,950","107,178,092","3,279,440","67,215,241","349,392","7,027,800","1,459,118","32,935,051"
2015,서대문구,약국,"2,739,560","58,289,746","1,784,407","36,654,535","179,979","3,661,317","775,174","17,973,893"
2015,마포구,소계,"9,421,858","292,726,313","6,289,805","184,054,791","577,890","18,354,268","2,554,163","90,317,254"
2015,마포구,입원,"68,972","101,577,457","42,760","61,428,565","4,654","6,449,347","21,558","33,699,545"
2015,마포구,외래,"6,085,911","126,107,837","4,045,109","80,888,682","377,972","8,058,323","1,662,830","37,160,833"
2015,마포구,약국,"3,266,975","65,041,019","2,201,936","41,737,544","195,264","3,846,598","869,775","19,456,877"
2015,양천구,소계,"11,750,843","354,494,094","7,988,267","228,949,615","851,783","25,297,619","2,910,793","100,246,860"
2015,양천구,입원,"89,593","123,576,523","56,342","76,371,669","6,731","9,103,712","26,520","38,101,142"
2015,양천구,외래,"7,567,125","151,744,701","5,135,350","100,427,064","556,080","10,722,480","1,875,695","40,595,158"
2015,양천구,약국,"4,094,125","79,172,870","2,796,575","52,150,882","288,972","5,471,427","1,008,578","21,550,560"
2015,강서구,소계,"14,705,518","447,107,886","10,110,165","289,846,639","839,124","25,860,616","3,756,229","131,400,630"
2015,강서구,입원,"117,743","159,212,706","75,515","98,730,227","7,051","9,509,887","35,177","50,972,592"
2015,강서구,외래,"9,348,142","189,427,189","6,404,251","125,658,615","541,121","10,813,505","2,402,770","52,955,069"
2015,강서구,약국,"5,239,633","98,467,991","3,630,399","65,457,797","290,952","5,537,224","1,318,282","27,472,969"
2015,구로구,소계,"11,198,503","340,040,799","7,523,836","218,677,473","599,302","19,021,236","3,075,365","102,342,090"
2015,구로구,입원,"92,587","122,263,869","58,886","75,595,909","5,504","7,231,886","28,197","39,436,074"
2015,구로구,외래,"7,104,581","139,595,044","4,761,303","92,288,003","387,278","7,636,612","1,956,000","39,670,429"
2015,구로구,약국,"4,001,335","78,181,886","2,703,647","50,793,561","206,520","4,152,738","1,091,168","23,235,587"
2015,금천구,소계,"6,126,923","195,201,541","3,923,107","118,445,920","272,142","9,367,515","1,931,674","67,388,106"
2015,금천구,입원,"53,796","72,837,040","31,368","41,510,950","2,778","3,954,697","19,650","27,371,394"
2015,금천구,외래,"3,874,962","78,437,610","2,479,207","49,530,851","173,561","3,508,777","1,222,194","25,397,982"
