"시점",연월말,등락폭,등락률 (%),평균,종가기준,종가기준,종가기준,종가기준,종가기준,종가기준,장중기준,장중기준,장중기준,장중기준,장중기준,장중기준
"시점",소계,소계,소계,소계,최고,최고,최고,최저,최저,최저,최고,최고,최고,최저,최저,최저
"시점",소계,소계,소계,소계,지수,월 (월),일 (일),지수,월 (월),일 (일),지수,월 (월),일 (일),지수,월 (월),일 (일)
"2019. 01",2204.85,163.81,8.03,2101.98,2206.20,1,30,1993.70,1,3,2222.88,1,31,1984.53,1,4
"2019. 02",2195.44,-9.41,-0.43,2210.2,2234.79,2,27,2177.05,2,8,2241.76,2,25,2167.36,2,11
"2019. 03",2140.67,-54.77,-2.49,2161.91,2190.66,3,4,2128.10,3,28,2216.02,3,4,2120.93,3,28
"2019. 04",2203.59,62.92,2.94,2212.12,2248.63,4,16,2168.28,4,1,2252.05,4,17,2153.31,4,1
"2019. 05",2041.74,-161.85,-7.34,2086.9,2212.75,5,2,2023.32,5,29,2217.03,5,2,2016.25,5,29
"2019. 06",2130.62,88.88,4.35,2105.3,2134.32,6,27,2066.97,6,4,2141.27,6,27,2029.17,6,3
"2019. 07",2024.55,-106.07,-4.98,2079.48,2129.74,7,1,2024.55,7,31,2147.24,7,1,2010.95,7,31
"2019. 08",1967.79,-56.76,-2.80,1944.24,2017.34,8,1,1909.71,8,7,2032.23,8,1,1891.81,8,6
"2019. 09",2063.05,95.26,4.84,2045.21,2101.04,9,24,1965.69,9,3,2101.63,9,24,1958.59,9,2
"2019. 10",2083.48,20.43,0.99,2065.75,2093.60,10,28,2020.69,10,4,2105.17,10,29,2010.90,10,10
"2019. 11",2087.96,4.48,0.22,2128.79,2162.18,11,15,2087.96,11,29,2165.89,11,18,2081.53,11,1
"2019. 12",2197.67,109.71,5.25,2147.01,2204.21,12,27,2060.74,12,5,2215.55,12,27,2053.56,12,5
"2020. 01",2119.01,-78.66,-3.58,2203.44,2267.25,1,22,2119.01,1,31,2277.23,1,20,2119.01,1,31
"2020. 02",1987.01,-132.00,-6.23,2167.12,2243.59,2,14,1987.01,2,28,2255.49,2,13,1980.82,2,28
"2020. 03",1754.64,-232.37,-11.69,1786.75,2085.26,3,5,1457.64,3,19,2089.08,3,5,1439.43,3,19
"2020. 04",1947.56,192.92,10.99,1849.59,1947.56,4,29,1685.46,4,1,1957.51,4,29,1664.13,4,2
"2020. 05",2029.6,82.04,4.21,1965.17,2031.20,5,27,1895.37,5,4,2054.52,5,28,1894.29,5,4
"2020. 06",2108.33,78.73,3.88,2134.7,2195.69,6,10,2030.82,6,15,2217.21,6,8,2030.82,6,15
"2020. 07",2249.37,141.04,6.69,2195.95,2267.01,7,30,2106.70,7,1,2281.41,7,31,2101.33,7,1
"2020. 08",2326.17,76.80,3.41,2349.87,2437.53,8,13,2251.04,8,3,2458.17,8,13,2237.04,8,3
"2020. 09",2327.89,1.72,0.07,2371.52,2443.58,9,15,2272.70,9,24,2450.53,9,16,2267.63,9,25
"2020. 10",2267.15,-60.74,-2.61,2357.82,2403.73,10,12,2267.15,10,30,2418.89,10,13,2266.93,10,30
"2020. 11",2591.34,324.19,14.30,2504.18,2633.45,11,27,2300.16,11,2,2648.66,11,30,2267.95,11,2
"2020. 12",2873.47,282.13,10.89,2755.77,2873.47,12,30,2634.25,12,1,2878.21,12,30,2611.67,12,1
